bilet	vopros	order_number	user_count	correct
4	10	9	568	537
4	10	10	454	424
4	10	11	351	321
4	10	12	273	257
4	10	13	215	210
4	10	14	183	174
4	10	15	150	141
4	11	1	14703	10861
4	11	2	6981	6300
4	11	3	4203	3900
4	11	4	2746	2577
4	11	5	1932	1823
4	11	6	1378	1323
4	11	7	1024	974
4	11	8	762	719
4	11	9	559	527
4	11	10	426	409
4	11	11	329	316
4	11	12	262	256
4	11	13	215	203
4	11	14	182	179
4	11	15	152	149
4	12	1	15874	8394
4	12	2	7377	5413
4	12	3	4750	3772
4	12	4	3296	2723
4	12	5	2451	2086
4	12	6	1844	1596
4	12	7	1404	1182
4	12	8	1077	908
4	12	9	845	738
4	12	10	658	584
4	12	11	510	436
4	12	12	408	360
4	12	13	326	288
4	12	14	260	227
4	12	15	222	198
4	13	1	17595	16528
4	13	2	6347	6132
4	13	3	3595	3473
4	13	4	2243	2179
4	13	5	1522	1467
4	13	6	1039	1003
4	13	7	754	730
4	13	8	557	533
4	13	9	404	388
4	13	10	317	311
4	13	11	247	234
4	13	12	191	186
4	13	13	165	159
4	13	14	134	131
4	13	15	122	118
4	14	1	17499	13377
4	14	2	6353	5517
4	14	3	3655	3216
4	14	4	2301	2071
4	14	5	1584	1397
4	14	6	1100	977
4	14	7	799	713
4	14	8	596	536
4	14	9	445	391
4	14	10	338	300
4	14	11	267	229
4	14	12	208	181
4	14	13	168	147
4	14	14	143	123
4	14	15	124	109
4	15	1	17396	13704
4	15	2	6344	5414
4	15	3	3639	3176
4	15	4	2332	2066
4	15	5	1611	1442
4	15	6	1140	1014
4	15	7	841	723
4	15	8	632	563
4	15	9	469	428
4	15	10	360	322
4	15	11	286	258
4	15	12	224	195
4	15	13	174	161
4	15	14	147	121
4	15	15	122	102
4	16	1	15289	13093
4	16	2	6957	6626
4	16	3	3948	3831
4	16	4	2458	2399
4	16	5	1653	1607
4	16	6	1151	1129
4	16	7	809	797
4	16	8	596	590
4	16	9	442	432
4	16	10	337	332
4	16	11	263	256
4	16	12	207	201
4	16	13	154	152
4	16	14	121	118
4	16	15	97	97
4	17	1	14275	10307
4	17	2	6693	5802
4	17	3	3999	3584
4	17	4	2668	2405
4	17	5	1882	1720
4	17	6	1354	1231
4	17	7	992	910
4	17	8	724	660
4	17	9	538	483
4	17	10	430	402
4	17	11	342	307
4	17	12	272	259
4	17	13	220	205
4	17	14	182	168
4	17	15	146	135
4	18	1	13422	10094
4	18	2	5675	4951
4	18	3	3196	2856
4	18	4	2031	1848
4	18	5	1384	1254
4	18	6	954	874
4	18	7	683	629
4	18	8	497	469
4	18	9	354	334
4	18	10	273	255
4	18	11	227	211
4	18	12	176	169
4	18	13	136	128
4	18	14	109	101
4	18	15	91	87
4	19	1	13321	12706
4	19	2	5579	5468
4	19	3	3014	2963
4	19	4	1850	1816
4	19	5	1228	1207
4	19	6	815	797
4	19	7	568	558
4	19	8	390	384
4	19	9	293	290
4	19	10	220	218
4	19	11	186	183
4	19	12	143	141
4	19	13	108	107
4	19	14	87	87
4	19	15	70	70
4	20	1	13284	10258
4	20	2	5576	5025
4	20	3	3083	2795
4	20	4	1927	1804
4	20	5	1306	1230
4	20	6	887	834
4	20	7	603	573
4	20	8	433	416
4	20	9	303	289
4	20	10	230	218
4	20	11	197	186
4	20	12	148	142
4	20	13	117	109
4	20	14	92	89
4	20	15	74	72
5	1	1	19766	11108
5	1	2	8954	7001
5	1	3	5790	4800
5	1	4	4152	3489
5	1	5	3138	2668
5	1	6	2427	2044
5	1	7	1941	1659
5	1	8	1545	1332
5	1	9	1268	1085
5	1	10	1035	901
5	1	11	862	747
5	1	12	717	618
5	1	13	598	500
5	1	14	523	447
5	1	15	437	389
5	2	1	18894	17391
5	2	2	7084	6924
5	2	3	4267	4197
5	2	4	2900	2845
5	2	5	2038	2015
5	2	6	1538	1524
5	2	7	1176	1161
5	2	8	904	895
5	2	9	712	701
5	2	10	566	560
5	2	11	446	440
5	2	12	371	370
5	2	13	294	287
5	2	14	236	233
5	2	15	203	198
5	3	1	18871	13508
5	3	2	7167	6276
5	3	3	4454	4027
5	3	4	3066	2781
5	3	5	2198	1983
5	3	6	1669	1538
5	3	7	1262	1158
5	3	8	989	916
5	3	9	793	734
5	3	10	616	578
5	3	11	492	454
5	3	12	412	379
5	3	13	335	305
5	3	14	282	266
5	3	15	232	215
5	4	1	18761	11122
5	4	2	7160	6017
5	4	3	4541	4052
5	4	4	3212	2899
5	4	5	2250	2050
5	4	6	1706	1548
5	4	7	1315	1175
5	4	8	1031	943
5	4	9	821	745
5	4	10	646	601
5	4	11	517	480
5	4	12	417	386
5	4	13	333	305
5	4	14	276	252
5	4	15	238	218
5	5	1	14731	13941
5	5	2	7052	6807
5	5	3	4228	4072
5	5	4	2740	2649
5	5	5	1928	1868
5	5	6	1417	1376
5	5	7	1087	1059
5	5	8	825	803
5	5	9	641	619
5	5	10	502	485
